序號,GPS座標X,GPS座標Y,傍晚車潮,早上車潮,夜間,節假日,日間時段,傍晚車潮時段,早上車潮時段,交岔路口內,交岔路口附近,慢車道,一般車道,寬式分向設施,無分向設施,無標記雙向禁止超車線,中區,北區,北屯區,南區,后里區,大雅區,沙鹿區,潭子區,烏日區,西屯區,豐原區,晴天,分道設施--寬式快慢車道分隔島(50cm以上),快慢車道間有快慢車道分隔線,快慢車道間未繪設快慢車道分隔線,快車道或一般車道間無標記,快車道或一般車道間未繪設車道線,無號誌,行車管制號誌(附設行人專用號誌),閃光號誌,無號誌.1,號誌種類缺失,路面狀態乾燥,路面缺陷濕潤,其他路面缺陷,有路面邊線,無路面邊線,彎曲路及附近,直路,三岔路,四岔路,有道路照明設備且開啟,有道路照明設備未開啟,無道路照明設備,道路速限,Y_事故嚴重度,y_true,y_prob,prediction
55576,120.60182,24.139314,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,1,1,0.4756683579389107,需人工確認
17859,120.621614,24.190706,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,50.0,0,0,0.4490117016273718,需人工確認
32694,120.679361,24.167102,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,0,0,0.43401836322349,需人工確認
19740,120.612647,24.138489,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,50.0,0,0,0.4577817915659418,需人工確認
67945,120.817226,24.277141,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,50.0,1,1,0.5756647185822875,需人工確認
43843,120.700571,24.065908,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,40.0,1,1,0.5827997726721075,需人工確認
44566,120.659684,24.192971,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,50.0,1,1,0.4417312554924248,需人工確認
67224,120.685119,24.165279,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,50.0,1,1,0.5026086091659769,需人工確認
43091,120.654249,24.176145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,50.0,1,1,0.5087697155951402,需人工確認
51775,120.712156,24.240047,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,40.0,1,1,0.5384803052524597,需人工確認
40092,120.598516,24.21805,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,30.0,1,1,0.6748730721504355,需人工確認
33076,120.657199,24.152469,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,50.0,1,1,0.4070813617608072,需人工確認
24044,120.582906,24.172461,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,40.0,0,0,0.5415635463461029,需人工確認
14341,120.669404,24.214247,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,50.0,1,1,0.5976546335753455,需人工確認
41746,120.67525,24.119038,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,40.0,1,1,0.5899165941643981,需人工確認
26224,120.598858,24.192096,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,50.0,0,0,0.4051431921035913,需人工確認
68845,120.568123,24.268268,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,50.0,0,0,0.4750033297903209,需人工確認
49091,120.709366,24.177861,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,50.0,1,1,0.5038386920135476,需人工確認
67815,120.734107,24.120874,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,50.0,1,1,0.5093354810534515,需人工確認
66075,120.699804,24.210195,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,50.0,1,1,0.5624657608827477,需人工確認
14813,120.803893,24.231771,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,30.0,1,1,0.5908546893544898,需人工確認
33698,120.668638,24.192727,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,50.0,0,0,0.407797300353134,需人工確認
54593,120.617802,24.18137,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,40.0,1,1,0.593984727029186,需人工確認
56352,120.641053,24.167045,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,40.0,1,1,0.5513121412634925,需人工確認
7569,120.71629,24.124582,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,1,1,0.4405836441870868,需人工確認
53207,120.569217,24.233542,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,30.0,1,1,0.6876195215280718,需人工確認
6786,120.698089,24.155753,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,50.0,1,1,0.4918900827652423,需人工確認
114,120.702299,24.141046,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,50.0,0,0,0.4821748195538049,需人工確認
4296,120.662845,24.062105,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,40.0,0,0,0.5602043726699264,需人工確認
11287,120.692588,24.04654,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,50.0,0,0,0.461231212907966,需人工確認
11260,120.6909,24.102541,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,50.0,1,1,0.4614558198810232,需人工確認
