y_true,y_prob,prediction
0,0.49912610130458673,需人工確認
0,0.46915695905558213,需人工確認
0,0.4580069319975866,需人工確認
1,0.5694694857351486,需人工確認
1,0.566864998528547,需人工確認
0,0.5397145537143008,需人工確認
0,0.4145103579797683,需人工確認
0,0.46626593572091324,需人工確認
1,0.488505010572092,需人工確認
0,0.4467569480483569,需人工確認
0,0.4781270520863456,需人工確認
1,0.4817361805420313,需人工確認
0,0.552542615768235,需人工確認
1,0.47045899821285053,需人工確認
1,0.40925086666738064,需人工確認
1,0.6296875637780097,需人工確認
1,0.42550934187445877,需人工確認
1,0.5182487320687766,需人工確認
1,0.45539855678319613,需人工確認
1,0.5481799245808059,需人工確認
1,0.4317441676852595,需人工確認
1,0.42050092480140905,需人工確認
0,0.46426210477137014,需人工確認
0,0.5180821819844464,需人工確認
1,0.4932428260834976,需人工確認
1,0.4083894649026113,需人工確認
0,0.6146368918878913,需人工確認
1,0.52529640647371,需人工確認
1,0.4468756280680811,需人工確認
1,0.6120857340538559,需人工確認
0,0.4965182719978002,需人工確認
0,0.40314065827776896,需人工確認
1,0.49138948326462434,需人工確認
0,0.4415145780133976,需人工確認
1,0.4577471461177385,需人工確認
0,0.5315704867331756,需人工確認
1,0.6554457883099892,需人工確認
0,0.42266611888461697,需人工確認
1,0.5033725456486441,需人工確認
0,0.5324132752160129,需人工確認
0,0.46159679896200934,需人工確認
0,0.3868640642441536,需人工確認
1,0.4922206978568686,需人工確認
0,0.5364003978527863,需人工確認
1,0.5201449155314279,需人工確認
0,0.49078655739042676,需人工確認
1,0.5219453876627812,需人工確認
1,0.5281681371514554,需人工確認
1,0.4346945188880691,需人工確認
0,0.403724054189582,需人工確認
0,0.46746445994509583,需人工確認
1,0.5164042735707298,需人工確認
0,0.49305599989772675,需人工確認
1,0.4324924218045304,需人工確認
1,0.45993555117278906,需人工確認
1,0.4439541445249953,需人工確認
0,0.5773034494734474,需人工確認
0,0.4870939469649782,需人工確認
1,0.567584569256346,需人工確認
0,0.4874378086792649,需人工確認
1,0.4253876053428909,需人工確認
0,0.46622345512882696,需人工確認
1,0.5662406537580048,需人工確認
0,0.5820435340155141,需人工確認
1,0.6054089398839192,需人工確認
0,0.422672867804515,需人工確認
1,0.5106512686138133,需人工確認
0,0.6220309050456851,需人工確認
1,0.3951872296994061,需人工確認
0,0.44528420840715704,需人工確認
0,0.6302777175252292,需人工確認
0,0.6615038231556238,需人工確認
1,0.5293703652023722,需人工確認
0,0.44721945369185717,需人工確認
1,0.5633238215500563,需人工確認
1,0.44368819774563656,需人工確認
1,0.5271637464126789,需人工確認
1,0.5693040325494314,需人工確認
1,0.5220466251801049,需人工確認
0,0.4630405628063213,需人工確認
0,0.4917857451553166,需人工確認
1,0.41136158505390086,需人工確認
1,0.6613341591931231,需人工確認
1,0.5588763177696828,需人工確認
1,0.42743538906719925,需人工確認
0,0.4841452584158306,需人工確認
1,0.4180505120343949,需人工確認
0,0.41604287803561646,需人工確認
1,0.5722372770016685,需人工確認
0,0.49761557678959517,需人工確認
0,0.5695941697538087,需人工確認
0,0.44861721610405514,需人工確認
1,0.47214822531086775,需人工確認
0,0.5070459063461213,需人工確認
0,0.41617085189418185,需人工確認
0,0.6041476405154503,需人工確認
1,0.559439758255659,需人工確認
0,0.5089198704899472,需人工確認
0,0.4505870880760634,需人工確認
0,0.5495161324906801,需人工確認
0,0.45207345051985603,需人工確認
0,0.4072068971874273,需人工確認
1,0.5878419562386317,需人工確認
0,0.43180089202825456,需人工確認
1,0.5607237122788471,需人工確認
0,0.47009146239169797,需人工確認
1,0.475016629453345,需人工確認
1,0.49120141340316004,需人工確認
1,0.5299850652858303,需人工確認
0,0.4396338254271981,需人工確認
1,0.601206067838496,需人工確認
1,0.6027760728674769,需人工確認
1,0.4752264311038763,需人工確認
1,0.5196732930300313,需人工確認
1,0.5006646211599761,需人工確認
1,0.5197942899911425,需人工確認
1,0.4548156011150003,需人工確認
1,0.4607410202802091,需人工確認
1,0.45909382915642905,需人工確認
1,0.4013604279272005,需人工確認
1,0.5474628860935646,需人工確認
0,0.5148399232466861,需人工確認
0,0.5059775721801113,需人工確認
0,0.49460768828363977,需人工確認
1,0.5105778309896775,需人工確認
0,0.5758835790186785,需人工確認
1,0.6071033064487178,需人工確認
0,0.44232218882432806,需人工確認
0,0.5300919225047576,需人工確認
0,0.7311195443120995,致命
0,0.41455756749309397,需人工確認
1,0.4763617144002988,需人工確認
1,0.45907910504374655,需人工確認
1,0.4821642804766363,需人工確認
0,0.44407226521748755,需人工確認
1,0.44445664725445305,需人工確認
0,0.44161183475439014,需人工確認
1,0.4657835612942574,需人工確認
0,0.3894631825164768,需人工確認
1,0.47968927846688975,需人工確認
0,0.47336631204539037,需人工確認
1,0.434966154594902,需人工確認
